"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 20:17:20 ICT 2023","Mon Mar 13 20:18:20 ICT 2023","59505","","App Demo QA","","","","Access Menu Button",""
"passed","Mon Mar 13 20:18:20 ICT 2023","Mon Mar 13 20:18:34 ICT 2023","14743","","App Demo QA","","","","Do Drag and Drop",""
"passed","Mon Mar 13 20:23:29 ICT 2023","Mon Mar 13 20:23:44 ICT 2023","15257","","App Demo QA","","","","Do Drag and Drop",""
"passed","Mon Mar 13 20:22:27 ICT 2023","Mon Mar 13 20:23:29 ICT 2023","61595","","App Demo QA","","","","Access Menu Button",""
